"","State","County","Census_Pop_2020","Population_Estimate_2023","Births_2023","Deaths_2023"
"983","KS","Sedgwick County",523824,528469,6615,5110
"984","KS","Seward County",21964,21067,393,164
"985","KS","Shawnee County",178909,177746,1990,1994
"986","KS","Sheridan County",2447,2423,28,41
"987","KS","Sherman County",5927,5844,81,62
"988","KS","Smith County",3570,3590,42,52
"989","KS","Stafford County",4072,3909,44,81
"990","KS","Stanton County",2084,1901,15,19
"991","KS","Stevens County",5250,5077,65,55
"992","KS","Sumner County",22382,22334,220,309
"993","KS","Thomas County",7930,7865,120,72
"994","KS","Trego County",2808,2731,28,43
"995","KS","Wabaunsee County",6877,7057,88,89
"996","KS","Wallace County",1512,1509,28,19
"997","KS","Washington County",5530,5504,67,79
"998","KS","Wichita County",2152,2082,40,30
"999","KS","Wilson County",8624,8382,76,152
"1000","KS","Woodson County",3115,3115,25,54
"1001","KS","Wyandotte County",169245,165281,2287,1552
"1002","KY","Adair County",18903,19264,197,265
"1003","KY","Allen County",20588,21788,268,277
"1004","KY","Anderson County",23852,24613,249,270
"1005","KY","Ballard County",7728,7582,59,128
"1006","KY","Barren County",44485,45008,548,594
"1007","KY","Bath County",12750,12975,175,213
"1008","KY","Bell County",24097,23317,289,459
"1009","KY","Boone County",135968,140496,1723,1075
"1010","KY","Bourbon County",20252,20134,208,286
"1011","KY","Boyd County",48261,47826,477,739
"1012","KY","Boyle County",30614,30988,311,385
"1013","KY","Bracken County",8400,8426,94,115
"1014","KY","Breathitt County",13718,12953,143,235
"1015","KY","Breckinridge County",20432,21124,254,318
"1016","KY","Bullitt County",82217,84863,771,810
"1017","KY","Butler County",12371,12375,151,166
"1018","KY","Caldwell County",12649,12551,167,182
"1019","KY","Calloway County",37103,38280,356,477
"1020","KY","Campbell County",93076,93702,967,857
"1021","KY","Carlisle County",4826,4704,59,96
"1022","KY","Carroll County",10810,10987,162,150
"1023","KY","Carter County",26627,26366,272,441
"1024","KY","Casey County",15941,15918,180,236
"1025","KY","Christian County",72748,72032,1295,771
"1026","KY","Clark County",36972,37304,410,492
"1027","KY","Clay County",20345,19648,232,344
"1028","KY","Clinton County",9253,9148,107,155
"1029","KY","Crittenden County",8990,8974,102,146
"1030","KY","Cumberland County",5888,6000,74,110
"1031","KY","Daviess County",103312,103458,1308,1161
"1032","KY","Edmonson County",12126,12448,108,180
"1033","KY","Elliott County",7354,7245,52,97
"1034","KY","Estill County",14163,13936,126,237
"1035","KY","Fayette County",322570,320154,3696,2594
"1036","KY","Fleming County",15082,15442,205,208
"1037","KY","Floyd County",35942,34423,367,655
"1038","KY","Franklin County",51541,51644,512,697
"1039","KY","Fulton County",6515,6338,73,121
"1040","KY","Gallatin County",8690,8792,112,113
"1041","KY","Garrard County",16953,17829,175,234
"1042","KY","Grant County",24941,25619,361,305
"1043","KY","Graves County",36649,36461,465,507
"1044","KY","Grayson County",26420,26825,376,409
"1045","KY","Green County",11107,11468,117,164
"1046","KY","Greenup County",35962,35221,301,529
"1047","KY","Hancock County",9095,8920,95,111
"1048","KY","Hardin County",110702,112273,1369,1208
"1049","KY","Harlan County",26831,25324,282,510
"1050","KY","Harrison County",18692,19415,255,286
"1051","KY","Hart County",19288,19724,257,257
"1052","KY","Henderson County",44793,44119,514,584
"1053","KY","Henry County",15678,15973,198,219
"1054","KY","Hickman County",4521,4447,41,78
"1055","KY","Hopkins County",45423,44929,524,651
"1056","KY","Jackson County",12955,13104,161,193
"1057","KY","Jefferson County",782969,772144,9534,8371
"1058","KY","Jessamine County",52991,55017,618,542
"1059","KY","Johnson County",22680,22116,231,378
"1060","KY","Kenton County",169064,171321,2158,1486
"1061","KY","Knott County",14251,13659,108,254
"1062","KY","Knox County",30193,29794,377,497
"1063","KY","Larue County",14867,15303,158,203
"1064","KY","Laurel County",62613,63296,705,803
"1065","KY","Lawrence County",16293,16000,142,266
"1066","KY","Lee County",7395,7293,65,133
"1067","KY","Leslie County",10513,9864,95,199
"1068","KY","Letcher County",21548,20423,179,409
"1069","KY","Lewis County",13080,12973,161,211
"1070","KY","Lincoln County",24275,24776,312,382
"1071","KY","Livingston County",8888,8892,94,163
"1072","KY","Logan County",27432,28283,368,370
"1073","KY","Lyon County",8680,9187,53,137
"1074","KY","McCracken County",67875,67428,696,933
"1075","KY","McCreary County",16888,17050,180,279
"1076","KY","McLean County",9152,9054,94,137
"1077","KY","Madison County",92701,96735,1058,942
"1078","KY","Magoffin County",11637,11228,130,211
"1079","KY","Marion County",19581,19834,212,244
"1080","KY","Marshall County",31659,31744,304,450
"1081","KY","Martin County",11287,10928,100,167
"1082","KY","Mason County",17120,16841,186,251
"1083","KY","Meade County",30003,30131,267,307
"1084","KY","Menifee County",6113,6286,72,107
"1085","KY","Mercer County",22641,23097,254,333
"1086","KY","Metcalfe County",10286,10482,119,156
"1087","KY","Monroe County",11338,11306,147,182
"1088","KY","Montgomery County",28114,28527,326,373
"1089","KY","Morgan County",13726,14283,130,176
"1090","KY","Muhlenberg County",30928,30568,339,448
"1091","KY","Nelson County",46738,47730,553,542
"1092","KY","Nicholas County",7537,7686,99,117
"1093","KY","Ohio County",23772,23626,256,346
"1094","KY","Oldham County",67607,70183,546,473
"1095","KY","Owen County",11278,11313,109,151
"1096","KY","Owsley County",4051,4001,55,85
"1097","KY","Pendleton County",14644,14810,166,183
"1098","KY","Perry County",28473,27133,312,511
"1099","KY","Pike County",58669,55973,536,937
"1100","KY","Powell County",13129,12972,166,214
"1101","KY","Pulaski County",65034,66191,691,917
"1102","KY","Robertson County",2193,2313,20,38
"1103","KY","Rockcastle County",16037,16190,162,282
"1104","KY","Rowan County",24662,24409,272,291
"1105","KY","Russell County",17991,18279,211,274
"1106","KY","Scott County",57155,60168,699,491
"1107","KY","Shelby County",48065,49515,568,492
"1108","KY","Simpson County",19594,20195,211,256
"1109","KY","Spencer County",19490,20531,201,186
"1110","KY","Taylor County",26023,26443,324,402
"1111","KY","Todd County",12243,12494,175,167
"1112","KY","Trigg County",14061,14369,158,221
"1113","KY","Trimble County",8474,8607,87,132
"1114","KY","Union County",13668,13106,164,203
"1115","KY","Warren County",134554,142229,1898,1207
"1116","KY","Washington County",12027,12267,133,162
"1117","KY","Wayne County",19555,19580,209,287
"1118","KY","Webster County",13017,12726,172,190
"1119","KY","Whitley County",36712,36825,544,583
"1120","KY","Wolfe County",6562,6282,88,148
"1121","KY","Woodford County",26871,27268,273,297
"1122","LA","Acadia Parish",57576,56489,834,806
"1123","LA","Allen Parish",22750,22112,237,330
"1124","LA","Ascension Parish",126500,131632,1631,906
"1125","LA","Assumption Parish",21039,20160,210,310
"1126","LA","Avoyelles Parish",39693,38408,442,578
"1127","LA","Beauregard Parish",36549,36827,508,433
"1128","LA","Bienville Parish",12981,12366,165,253
"1129","LA","Bossier Parish",128746,129795,1573,1223
"1130","LA","Caddo Parish",237848,226386,2748,2818
"1131","LA","Calcasieu Parish",216785,203761,2499,2060
"1132","LA","Caldwell Parish",9645,9389,85,148
"1133","LA","Cameron Parish",5617,4768,60,52
"1134","LA","Catahoula Parish",8906,8414,77,142
"1135","LA","Claiborne Parish",14170,13670,142,196
"1136","LA","Concordia Parish",18687,17688,105,287
"1137","LA","De Soto Parish",26812,27114,335,356
"1138","LA","East Baton Rouge Parish",456781,448467,5455,4160
"1139","LA","East Carroll Parish",7459,6829,63,112
"1140","LA","East Feliciana Parish",19539,19229,175,283
"1141","LA","Evangeline Parish",32350,31754,453,445
"1142","LA","Franklin Parish",19774,19285,235,294
"1143","LA","Grant Parish",22169,21911,261,262
"1144","LA","Iberia Parish",69929,67659,873,845
"1145","LA","Iberville Parish",30241,29617,345,418
"1146","LA","Jackson Parish",15031,14746,120,219
"1147","LA","Jefferson Parish",440781,421777,5202,4223
"1148","LA","Jefferson Davis Parish",32250,31553,435,480
"1149","LA","Lafayette Parish",241753,249750,3388,2063
"1150","LA","Lafourche Parish",97557,95056,1115,1063
"1151","LA","LaSalle Parish",14791,14800,169,191
"1152","LA","Lincoln Parish",48396,47962,465,462
"1153","LA","Livingston Parish",142282,150145,1842,1345
"1154","LA","Madison Parish",10017,9246,131,141
"1155","LA","Morehouse Parish",25629,23955,269,480
"1156","LA","Natchitoches Parish",37515,36291,425,509
"1157","LA","Orleans Parish",383997,364136,4111,3387
"1158","LA","Ouachita Parish",160368,157568,2016,1748
"1159","LA","Plaquemines Parish",23515,22386,291,212
"1160","LA","Pointe Coupee Parish",20758,20000,249,315
"1161","LA","Rapides Parish",130023,126260,1631,1671
"1162","LA","Red River Parish",7620,7356,95,130
"1163","LA","Richland Parish",20043,19712,260,281
"1164","LA","Sabine Parish",22155,21906,264,361
"1165","LA","St. Bernard Parish",43764,44463,575,460
"1166","LA","St. Charles Parish",52549,50620,576,468
"1167","LA","St. Helena Parish",10920,10774,96,168
"1168","LA","St. James Parish",20192,19191,213,249
"1169","LA","St. John the Baptist Parish",42477,39592,471,456
"1170","LA","St. Landry Parish",82540,81464,1188,1111
"1171","LA","St. Martin Parish",51767,51057,630,576
"1172","LA","St. Mary Parish",49406,47055,616,661
"1173","LA","St. Tammany Parish",264570,275583,3081,2490
"1174","LA","Tangipahoa Parish",133157,138064,1970,1520
"1175","LA","Tensas Parish",4147,3764,18,86
"1176","LA","Terrebonne Parish",109580,103616,1367,1242
"1177","LA","Union Parish",21107,20650,195,338
"1178","LA","Vermilion Parish",57359,56992,749,702
"1179","LA","Vernon Parish",48750,46250,814,443
"1180","LA","Washington Parish",45463,44865,566,687
"1181","LA","Webster Parish",36967,35238,393,640
"1182","LA","West Baton Rouge Parish",27199,28266,337,278
"1183","LA","West Carroll Parish",9751,9323,110,150
"1184","LA","West Feliciana Parish",15310,15371,120,165
"1185","LA","Winn Parish",13755,13216,135,206
"1186","ME","Androscoggin County",111139,113765,1136,1429
"1187","ME","Aroostook County",67105,67351,640,1084
"1188","ME","Cumberland County",303069,310230,2922,3059
"1189","ME","Franklin County",29456,30828,226,411
"1190","ME","Hancock County",55478,56526,372,752
"1191","ME","Kennebec County",123642,127259,1110,1605
"1192","ME","Knox County",40607,40977,280,542
"1193","ME","Lincoln County",35237,36507,258,450
"1194","ME","Oxford County",57777,59905,441,831
"1195","ME","Penobscot County",152199,155312,1298,1950
"1196","ME","Piscataquis County",16800,17486,130,306
"1197","ME","Sagadahoc County",36699,37513,315,441
"1198","ME","Somerset County",50477,51302,472,759
"1199","ME","Waldo County",39607,40620,359,531
"1200","ME","Washington County",31095,31555,287,529
"1201","ME","York County",211972,218586,1699,2319
"1202","MD","Allegany County",68106,67273,553,1001
"1203","MD","Anne Arundel County",588261,594582,6971,4570
"1204","MD","Baltimore County",854535,844703,9375,8577
"1205","MD","Calvert County",92783,94728,957,834
"1206","MD","Caroline County",33293,33593,423,430
"1207","MD","Carroll County",172891,176639,1795,1758
"1208","MD","Cecil County",103725,105672,1124,1194
"1209","MD","Charles County",166617,171973,1724,1421
"1210","MD","Dorchester County",32531,32879,336,489
"1211","MD","Frederick County",271717,293391,3172,2066
"1212","MD","Garrett County",28806,28423,215,389
"1213","MD","Harford County",260924,264644,2624,2413
"1214","MD","Howard County",332317,336001,3236,1901
"1215","MD","Kent County",19198,19303,145,312
"1216","MD","Montgomery County",1062061,1058474,11709,6412
"1217","MD","Prince George's County",967201,947430,10619,6954
"1218","MD","Queen Anne's County",49874,52508,533,522
"1219","MD","St. Mary's County",113777,115281,1405,1025
"1220","MD","Somerset County",24620,24910,218,315
"1221","MD","Talbot County",37526,37823,304,543
"1222","MD","Washington County",154705,155813,1554,1900
"1223","MD","Wicomico County",103588,104800,1276,1201
"1224","MD","Worcester County",52460,54171,459,716
"1225","MD","Baltimore city",585708,565239,7242,6827
"1226","MA","Barnstable County",228996,231735,1504,3208
"1227","MA","Berkshire County",129026,126818,888,1685
"1228","MA","Bristol County",579200,581841,5475,6004
"1229","MA","Dukes County",20600,20819,177,173
"1230","MA","Essex County",809829,810089,8482,7227
"1231","MA","Franklin County",71029,70836,495,754
"1232","MA","Hampden County",465825,460291,4808,4951
"1233","MA","Hampshire County",162308,162502,937,1419
"1234","MA","Middlesex County",1632002,1623952,16102,11957
"1235","MA","Nantucket County",14255,14444,159,88
"1236","MA","Norfolk County",725981,727473,7196,6056
"1237","MA","Plymouth County",530819,535308,5395,5289
"1238","MA","Suffolk County",797936,768425,8210,4932
"1239","MA","Worcester County",862111,866866,8559,7661
"1240","MI","Alcona County",10167,10489,63,216
"1241","MI","Alger County",8842,8757,67,114
"1242","MI","Allegan County",120502,121939,1227,1163
"1243","MI","Alpena County",28907,28904,269,447
"1244","MI","Antrim County",23431,24409,187,319
"1245","MI","Arenac County",15002,15145,132,247
"1246","MI","Baraga County",8158,8310,69,116
"1247","MI","Barry County",62423,63808,604,711
"1248","MI","Bay County",103856,102500,865,1409
"1249","MI","Benzie County",17970,18441,138,231
"1250","MI","Berrien County",154316,152261,1584,1824
"1251","MI","Branch County",44862,45215,530,533
"1252","MI","Calhoun County",134310,133366,1517,1670
"1253","MI","Cass County",51589,51642,446,601
"1254","MI","Charlevoix County",26054,26159,201,357
"1255","MI","Cheboygan County",25579,26048,192,417
"1256","MI","Chippewa County",36785,36264,291,445
"1257","MI","Clare County",30856,31316,305,518
"1258","MI","Clinton County",79128,79720,675,712
"1259","MI","Crawford County",12988,13538,107,220
"1260","MI","Delta County",36903,36790,314,528
"1261","MI","Dickinson County",25947,25982,212,341
"1262","MI","Eaton County",109175,108820,1075,1212
"1263","MI","Emmet County",34112,34123,260,371
"1264","MI","Genesee County",406211,401522,4337,4972
"1265","MI","Gladwin County",25386,25853,226,450
"1266","MI","Gogebic County",14380,14224,77,202
"1267","MI","Grand Traverse County",95238,96421,893,1017
"1268","MI","Gratiot County",41761,41368,355,496
"1269","MI","Hillsdale County",45746,45587,446,604
"1270","MI","Houghton County",37361,37599,347,353
"1271","MI","Huron County",31407,30927,277,492
"1272","MI","Ingham County",284900,284637,2908,2556
"1273","MI","Ionia County",66804,66262,670,591
"1274","MI","Iosco County",25237,25373,200,468
"1275","MI","Iron County",11631,11740,64,192
"1276","MI","Isabella County",64394,64118,593,657
"1277","MI","Jackson County",160366,159424,1611,1942
"1278","MI","Kalamazoo County",261670,262215,2732,2412
"1279","MI","Kalkaska County",17939,18490,184,239
"1280","MI","Kent County",657974,661354,8192,5154
"1281","MI","Keweenaw County",2046,2172,10,34
"1282","MI","Lake County",12096,12734,90,195
"1283","MI","Lapeer County",88619,88977,769,1095
"1284","MI","Leelanau County",22301,23019,187,291
"1285","MI","Lenawee County",99423,97520,739,1191
"1286","MI","Livingston County",193866,196757,1629,1703
"1287","MI","Luce County",5339,6435,56,83
"1288","MI","Mackinac County",10834,10851,81,187
"1289","MI","Macomb County",881217,875101,8630,9376
"1290","MI","Manistee County",25032,25562,194,357
"1291","MI","Marquette County",66017,66999,561,737
"1292","MI","Mason County",29052,29159,232,410
"1293","MI","Mecosta County",39714,41099,414,444
"1294","MI","Menominee County",23502,22945,73,313
"1295","MI","Midland County",83494,84039,862,858
"1296","MI","Missaukee County",15052,15311,158,199
"1297","MI","Monroe County",154809,155045,1144,1740
"1298","MI","Montcalm County",66614,68154,678,750
"1299","MI","Montmorency County",9153,9678,73,200
"1300","MI","Muskegon County",175824,176564,1875,1949
"1301","MI","Newaygo County",49978,51108,493,588
"1302","MI","Oakland County",1274395,1270426,12666,10964
"1303","MI","Oceana County",26659,26981,268,312
"1304","MI","Ogemaw County",20770,20990,179,371
"1305","MI","Ontonagon County",5816,5906,31,102
"1306","MI","Osceola County",22891,23330,232,273
"1307","MI","Oscoda County",8219,8545,77,164
"1308","MI","Otsego County",25091,25747,237,344
"1309","MI","Ottawa County",296200,303372,3121,2281
"1310","MI","Presque Isle County",12982,13285,89,208
"1311","MI","Roscommon County",23459,23863,151,442
"1312","MI","Saginaw County",190124,187782,1998,2354
"1313","MI","St. Clair County",160383,159874,1423,2079
"1314","MI","St. Joseph County",60939,60878,645,734
"1315","MI","Sanilac County",40611,40368,396,595
"1316","MI","Schoolcraft County",8047,8149,59,129
"1317","MI","Shiawassee County",68094,68025,665,805
"1318","MI","Tuscola County",53323,52826,495,715
"1319","MI","Van Buren County",75587,75798,815,904
"1320","MI","Washtenaw County",372258,365536,2936,2375
"1321","MI","Wayne County",1793561,1751169,20698,19095
"1322","MI","Wexford County",33673,34122,340,476
"1323","MN","Aitkin County",15697,16102,101,243
"1324","MN","Anoka County",363887,372441,4246,2629
"1325","MN","Becker County",35183,35283,343,411
"1326","MN","Beltrami County",46228,46718,574,514
"1327","MN","Benton County",41379,41600,478,401
"1328","MN","Big Stone County",5166,5105,54,77
"1329","MN","Blue Earth County",69112,70006,700,584
"1330","MN","Brown County",25912,25628,268,340
"1331","MN","Carlton County",36207,36825,390,462
"1332","MN","Carver County",106922,111057,1217,646
"1333","MN","Cass County",30066,31446,285,432
"1334","MN","Chippewa County",12598,12172,164,168
"1335","MN","Chisago County",56621,58535,565,535
"1336","MN","Clay County",65318,66258,539,543
"1337","MN","Clearwater County",8524,8644,83,122
"1338","MN","Cook County",5600,5639,31,47
"1339","MN","Cottonwood County",11517,11319,130,165
"1340","MN","Crow Wing County",66123,68304,637,780
"1341","MN","Dakota County",439882,447440,5038,3088
"1342","MN","Dodge County",20867,21088,268,166
"1343","MN","Douglas County",39006,39953,396,443
"1344","MN","Faribault County",13921,13873,127,188
"1345","MN","Fillmore County",21228,21522,227,246
"1346","MN","Freeborn County",30895,30515,311,394
"1347","MN","Goodhue County",47582,48035,486,552
"1348","MN","Grant County",6074,6139,69,79
"1349","MN","Hennepin County",1281565,1258713,14847,9452
"1350","MN","Houston County",18843,18582,66,200
"1351","MN","Hubbard County",21344,22132,220,244
"1352","MN","Isanti County",41135,43182,479,435
"1353","MN","Itasca County",45014,45365,383,659
"1354","MN","Jackson County",9989,9919,99,106
"1355","MN","Kanabec County",16032,16602,164,209
"1356","MN","Kandiyohi County",43732,43813,527,438
"1357","MN","Kittson County",4207,4060,30,61
"1358","MN","Koochiching County",12062,11751,100,185
"1359","MN","Lac qui Parle County",6719,6630,58,102
"1360","MN","Lake County",10905,10855,83,171
"1361","MN","Lake of the Woods County",3763,3778,38,50
"1362","MN","Le Sueur County",28674,29255,320,284
"1363","MN","Lincoln County",5640,5521,46,102
"1364","MN","Lyon County",25269,25427,294,243
"1365","MN","McLeod County",36771,36785,380,409
"1366","MN","Mahnomen County",5411,5280,63,90
"1367","MN","Marshall County",9040,8810,82,96
"1368","MN","Martin County",20025,19657,222,301
"1369","MN","Meeker County",23400,23490,259,243
"1370","MN","Mille Lacs County",26459,27427,290,373
"1371","MN","Morrison County",34010,34250,344,409
"1372","MN","Mower County",40029,40058,499,441
"1373","MN","Murray County",8179,8049,60,109
"1374","MN","Nicollet County",34454,34242,325,293
"1375","MN","Nobles County",22290,21727,309,183
"1376","MN","Norman County",6441,6329,55,86
"1377","MN","Olmsted County",162847,164784,2010,1237
"1378","MN","Otter Tail County",60081,60626,623,755
"1379","MN","Pennington County",13992,13714,139,152
"1380","MN","Pine County",28876,30197,300,386
"1381","MN","Pipestone County",9424,9245,106,133
"1382","MN","Polk County",31192,30412,292,373
"1383","MN","Pope County",11308,11400,126,147
"1384","MN","Ramsey County",552352,536075,6677,4716
"1385","MN","Red Lake County",3935,3911,46,43
"1386","MN","Redwood County",15425,15288,190,183
"1387","MN","Renville County",14723,14348,134,203
"1388","MN","Rice County",67097,67948,671,602
"1389","MN","Rock County",9704,9551,58,121
"1390","MN","Roseau County",15331,15252,176,170
"1391","MN","St. Louis County",200231,200514,1844,2249
"1392","MN","Scott County",150928,155814,1732,888
"1393","MN","Sherburne County",97183,102206,1183,697
"1394","MN","Sibley County",14836,15084,186,167
"1395","MN","Stearns County",158292,160977,1962,1229
"1396","MN","Steele County",37406,37421,435,382
"1397","MN","Stevens County",9671,9728,110,74
"1398","MN","Swift County",9838,9719,114,93
"1399","MN","Todd County",25262,25667,306,252
"1400","MN","Traverse County",3360,3136,24,62
"1401","MN","Wabasha County",21387,21683,222,218
"1402","MN","Wadena County",14065,14241,189,220
"1403","MN","Waseca County",18968,18981,198,188
"1404","MN","Washington County",267568,278936,2796,1930
"1405","MN","Watonwan County",11253,11077,174,129
"1406","MN","Wilkin County",6506,6306,46,89
"1407","MN","Winona County",49671,49721,336,431
"1408","MN","Wright County",141337,151150,1890,1058
"1409","MN","Yellow Medicine County",9528,9467,90,105
"1410","MS","Adams County",29538,28746,311,416
"1411","MS","Alcorn County",34740,34135,383,471
"1412","MS","Amite County",12720,12442,114,218
"1413","MS","Attala County",17889,17359,216,281
"1414","MS","Benton County",7646,7438,72,125
"1415","MS","Bolivar County",30985,28968,407,441
"1416","MS","Calhoun County",13266,12685,166,220
"1417","MS","Carroll County",9998,9535,72,147
"1418","MS","Chickasaw County",17106,16866,233,236
"1419","MS","Choctaw County",8246,8088,88,109
"1420","MS","Claiborne County",9135,8617,104,119
"1421","MS","Clarke County",15615,15228,178,238
"1422","MS","Clay County",18636,18206,212,269
"1423","MS","Coahoma County",21390,20077,303,335
"1424","MS","Copiah County",28368,27664,323,368
"1425","MS","Covington County",18340,18059,250,276
"1426","MS","DeSoto County",185314,193247,1655,1712
"1427","MS","Forrest County",78158,78208,1006,883
"1428","MS","Franklin County",7675,7610,89,134
"1429","MS","George County",24350,25619,384,343
"1430","MS","Greene County",13530,13601,134,137
"1431","MS","Grenada County",21629,21065,232,310
"1432","MS","Hancock County",46053,46159,425,564
"1433","MS","Harrison County",208621,210612,2435,2308
"1434","MS","Hinds County",227742,214870,2765,2302
"1435","MS","Holmes County",17000,15777,205,279
"1436","MS","Humphreys County",7785,7216,97,138
"1437","MS","Issaquena County",1338,1256,4,13
"1438","MS","Itawamba County",23863,24093,301,317
"1439","MS","Jackson County",143252,146389,1634,1506
"1440","MS","Jasper County",16367,16013,202,295
"1441","MS","Jefferson County",7260,6941,67,101
"1442","MS","Jefferson Davis County",11321,10969,118,186
"1443","MS","Jones County",67246,66250,920,895
"1444","MS","Kemper County",8988,8584,77,126
"1445","MS","Lafayette County",55813,58467,589,479
"1446","MS","Lamar County",64222,66217,773,523
"1447","MS","Lauderdale County",72984,70527,825,919
"1448","MS","Lawrence County",12016,11741,159,188
"1449","MS","Leake County",21275,21258,324,301
"1450","MS","Lee County",83343,82799,1090,1019
"1451","MS","Leflore County",28339,26378,382,398
"1452","MS","Lincoln County",34907,34702,408,489
"1453","MS","Lowndes County",58879,57283,729,680
"1454","MS","Madison County",109145,112511,1276,1018
"1455","MS","Marion County",24441,24224,287,363
"1456","MS","Marshall County",33752,34123,339,536
"1457","MS","Monroe County",34180,33609,386,501
"1458","MS","Montgomery County",9822,9600,123,155
"1459","MS","Neshoba County",29087,28789,431,417
"1460","MS","Newton County",21291,21019,289,294
"1461","MS","Noxubee County",10285,9914,151,143
"1462","MS","Oktibbeha County",51788,51203,490,393
"1463","MS","Panola County",33208,32669,379,453
"1464","MS","Pearl River County",56145,57978,650,778
"1465","MS","Perry County",11511,11315,128,196
"1466","MS","Pike County",40324,39394,516,576
"1467","MS","Pontotoc County",31184,31535,415,414
"1468","MS","Prentiss County",25008,25135,285,336
"1469","MS","Quitman County",6176,5546,59,127
"1470","MS","Rankin County",157031,160417,1740,1341
"1471","MS","Scott County",27990,27507,445,356
"1472","MS","Sharkey County",3800,3336,43,78
"1473","MS","Simpson County",25949,25715,341,361
"1474","MS","Smith County",14209,14099,180,203
"1475","MS","Stone County",18333,18756,213,251
"1476","MS","Sunflower County",25971,24468,285,359
"1477","MS","Tallahatchie County",12715,11837,134,189
"1478","MS","Tate County",28064,28261,292,389
"1479","MS","Tippah County",21815,21287,255,306
"1480","MS","Tishomingo County",18850,18507,205,350
"1481","MS","Tunica County",9782,9234,111,159
"1482","MS","Union County",27777,28284,358,355
"1483","MS","Walthall County",13884,13863,177,223
"1484","MS","Warren County",44722,42298,501,582
"1485","MS","Washington County",44922,41946,565,631
"1486","MS","Wayne County",19779,19703,260,278
"1487","MS","Webster County",9926,9988,132,189
"1488","MS","Wilkinson County",8587,8058,100,117
"1489","MS","Winston County",17714,17416,201,277
"1490","MS","Yalobusha County",12481,12386,136,189
"1491","MS","Yazoo County",26743,25796,289,335
"1492","MO","Adair County",25314,25122,275,256
"1493","MO","Andrew County",18135,18127,169,183
"1494","MO","Atchison County",5305,5107,46,93
"1495","MO","Audrain County",24962,24394,287,331
"1496","MO","Barry County",34534,35265,407,488
"1497","MO","Barton County",11637,11731,133,166
"1498","MO","Bates County",16042,16242,179,242
"1499","MO","Benton County",19394,20552,159,362
"1500","MO","Bollinger County",10567,10544,130,158
"1501","MO","Boone County",183610,189463,1954,1339
"1502","MO","Buchanan County",84793,82956,989,1018
"1503","MO","Butler County",42130,41948,513,661
"1504","MO","Caldwell County",8815,8955,102,131
"1505","MO","Callaway County",44283,44731,460,487
"1506","MO","Camden County",42745,44044,366,588
"1507","MO","Cape Girardeau County",81710,82984,897,871
"1508","MO","Carroll County",8495,8391,88,114
"1509","MO","Carter County",5202,5303,84,89
"1510","MO","Cass County",107824,111732,1199,1170
"1511","MO","Cedar County",14188,14672,213,226
"1512","MO","Chariton County",7408,7399,76,119
"1513","MO","Christian County",88842,94422,1045,867
"1514","MO","Clark County",6634,6641,81,94
"1515","MO","Clay County",253335,259772,2984,2072
"1516","MO","Clinton County",21184,21548,232,254
"1517","MO","Cole County",77279,77278,812,752
"1518","MO","Cooper County",17103,16947,184,210
"1519","MO","Crawford County",23056,22719,237,377
"1520","MO","Dade County",7569,7716,61,125
"1521","MO","Dallas County",17071,17768,211,255
"1522","MO","Daviess County",8430,8551,115,104
"1523","MO","DeKalb County",11029,9899,97,134
"1524","MO","Dent County",14421,14647,149,257
"1525","MO","Douglas County",11578,12228,147,211
"1526","MO","Dunklin County",28283,27032,349,480
"1527","MO","Franklin County",104682,106404,1090,1245
"1528","MO","Gasconade County",14794,14705,145,234
"1529","MO","Gentry County",6162,6287,78,94
"1530","MO","Greene County",298915,304611,3262,3247
"1531","MO","Grundy County",9808,9815,143,154
"1532","MO","Harrison County",8157,8220,84,112
"1533","MO","Henry County",21946,22485,249,343
"1534","MO","Hickory County",8279,8718,92,188
"1535","MO","Holt County",4223,4248,46,76
"1536","MO","Howard County",10151,10101,95,127
"1537","MO","Howell County",39750,40735,445,624
"1538","MO","Iron County",9537,9440,86,186
"1539","MO","Jackson County",717204,718560,8531,7078
"1540","MO","Jasper County",122761,125056,1579,1428
"1541","MO","Jefferson County",226739,231230,2281,2327
"1542","MO","Johnson County",54013,54962,712,494
"1543","MO","Knox County",3744,3723,47,62
"1544","MO","Laclede County",36039,36680,470,494
"1545","MO","Lafayette County",32984,33196,355,436
"1546","MO","Lawrence County",38001,38872,494,527
"1547","MO","Lewis County",10032,9818,96,144
"1548","MO","Lincoln County",59574,64699,813,592
"1549","MO","Linn County",11874,11791,135,175
"1550","MO","Livingston County",14557,14557,156,212
"1551","MO","McDonald County",23303,23903,342,299
"1552","MO","Macon County",15209,15161,173,213
"1553","MO","Madison County",12626,12698,127,208
"1554","MO","Maries County",8432,8430,97,133
"1555","MO","Marion County",28525,28336,339,387
"1556","MO","Mercer County",3538,3469,51,50
"1557","MO","Miller County",24722,25590,305,320
"1558","MO","Mississippi County",12577,11822,144,214
"1559","MO","Moniteau County",15473,15256,199,179
"1560","MO","Monroe County",8666,8698,93,123
"1561","MO","Montgomery County",11322,11459,123,188
"1562","MO","Morgan County",21006,21970,260,322
"1563","MO","New Madrid County",16434,15424,188,296
"1564","MO","Newton County",58648,60677,692,753
"1565","MO","Nodaway County",21241,20695,214,179
"1566","MO","Oregon County",8635,8720,106,184
"1567","MO","Osage County",13274,13468,164,154
"1568","MO","Ozark County",8553,8970,83,161
