"","State","County","Census_Pop_2020","Population_Estimate_2023","Births_2023","Deaths_2023"
"3140","WY","Natrona County",79955,79941,827,792
"3141","WY","Niobrara County",2467,2354,21,33
"3142","WY","Park County",29624,30735,266,352
"3143","WY","Platte County",8605,8546,70,145
"3144","WY","Sheridan County",30921,32519,296,353
"3145","WY","Sublette County",8728,8969,75,73
"3146","WY","Sweetwater County",42272,41249,430,366
"3147","WY","Teton County",23331,23232,190,90
"3148","WY","Uinta County",20450,20745,229,182
"3149","WY","Washakie County",7685,7710,72,109
"3150","WY","Weston County",6838,6808,50,92
